s (1,1) 5
s (2,1) 5
s (3,1) 5
s (4,1) 5
s (5,1) 5
(3,27) (3,28) 5
(4,27) (4,28) 5
(5,27) (5,28) 5
(1,28) (1,29) 5
(2,28) (2,29) 5
(3,28) (3,29) 5
(4,28) (4,29) 5
(5,28) (5,29) 5
(1,29) (1,30) 5
(2,29) (2,30) 5
(3,29) (3,30) 5
(4,29) (4,30) 5
(5,29) (5,30) 5
(1,30) (1,31) 5
(2,30) (2,31) 5
(3,30) (3,31) 5
(4,30) (4,31) 5
(5,30) (5,31) 5
(1,31) (1,32) 5
(2,31) (2,32) 5
(3,31) (3,32) 5
(4,31) (4,32) 5
(5,31) (5,32) 5
(1,32) (1,33) 5
(2,32) (2,33) 5
(3,32) (3,33) 5
(4,32) (4,33) 5
(5,32) (5,33) 5
(1,33) (1,34) 5
(2,33) (2,34) 5
(3,33) (3,34) 5
(4,33) (4,34) 5
(5,33) (5,34) 5
(1,34) (1,35) 5
(2,34) (2,35) 5
(3,34) (3,35) 5
(4,34) (4,35) 5
(5,34) (5,35) 5
(1,35) (1,36) 5
(2,35) (2,36) 5
(3,35) (3,36) 5
(4,35) (4,36) 5
(5,35) (5,36) 5
(1,36) (1,37) 5
(2,36) (2,37) 5
(3,36) (3,37) 5
(4,36) (4,37) 5
(5,36) (5,37) 5
(1,37) (1,38) 5
(2,37) (2,38) 5
(3,37) (3,38) 5
(4,37) (4,38) 5
(5,37) (5,38) 5
(1,38) (1,39) 5
(2,38) (2,39) 5
(3,38) (3,39) 5
(4,38) (4,39) 5
(5,38) (5,39) 5
(1,39) (1,40) 5
(2,39) (2,40) 5
(3,39) (3,40) 5
(4,39) (4,40) 5
(5,39) (5,40) 5
(1,1) (2,1) 5
(2,1) (1,1) 5
(2,1) (3,1) 5
(3,1) (2,1) 5
(3,1) (4,1) 5
(4,1) (3,1) 5
(4,1) (5,1) 5
(5,1) (4,1) 5
(1,2) (2,2) 5
(2,2) (1,2) 5
(2,2) (3,2) 5
(3,2) (2,2) 5
(3,2) (4,2) 5
(4,2) (3,2) 5
(4,2) (5,2) 5
(5,2) (4,2) 5
(1,3) (2,3) 5
(2,3) (1,3) 5
(2,3) (3,3) 5
(3,3) (2,3) 5
(3,3) (4,3) 5
(4,3) (3,3) 5
(4,3) (5,3) 5
(5,3) (4,3) 5
(1,4) (2,4) 5
(2,4) (1,4) 5
(2,4) (3,4) 5
(3,4) (2,4) 5
(3,4) (4,4) 5
(4,4) (3,4) 5
(4,4) (5,4) 5
(5,4) (4,4) 5
(1,5) (2,5) 5
(2,5) (1,5) 5
(2,5) (3,5) 5
(3,5) (2,5) 5
(3,5) (4,5) 5
(4,5) (3,5) 5
(4,5) (5,5) 5
(5,5) (4,5) 5
(1,6) (2,6) 5
(2,6) (1,6) 5
(2,6) (3,6) 5
(3,6) (2,6) 5
(3,6) (4,6) 5
(4,6) (3,6) 5
(4,6) (5,6) 5
(5,6) (4,6) 5
(1,7) (2,7) 5
(2,7) (1,7) 5
(2,7) (3,7) 5
(3,7) (2,7) 5
(3,7) (4,7) 5
(4,7) (3,7) 5
(4,7) (5,7) 5
(5,7) (4,7) 5
(1,8) (2,8) 5
(2,8) (1,8) 5
(2,8) (3,8) 5
(3,8) (2,8) 5
(3,8) (4,8) 5
(4,8) (3,8) 5
(4,8) (5,8) 5
(5,8) (4,8) 5
(1,9) (2,9) 5
(2,9) (1,9) 5
(2,9) (3,9) 5
(3,9) (2,9) 5
(3,9) (4,9) 5
(4,9) (3,9) 5
(4,9) (5,9) 5
(5,9) (4,9) 5
(1,10) (2,10) 5
(2,10) (1,10) 5
(2,10) (3,10) 5
(3,10) (2,10) 5
(3,10) (4,10) 5
(4,10) (3,10) 5
(4,10) (5,10) 5
(5,10) (4,10) 5
(1,11) (2,11) 5
(2,11) (1,11) 5
(2,11) (3,11) 5
(3,11) (2,11) 5
(3,11) (4,11) 5
(4,11) (3,11) 5
(4,11) (5,11) 5
(5,11) (4,11) 5
(1,12) (2,12) 5
(2,12) (1,12) 5
(2,12) (3,12) 5
(3,12) (2,12) 5
(3,12) (4,12) 5
(4,12) (3,12) 5
(4,12) (5,12) 5
(5,12) (4,12) 5
(1,13) (2,13) 5
(2,13) (1,13) 5
(2,13) (3,13) 5
(3,13) (2,13) 5
(3,13) (4,13) 5
(4,13) (3,13) 5
(4,13) (5,13) 5
(5,13) (4,13) 5
(1,14) (2,14) 5
(2,14) (1,14) 5
(2,14) (3,14) 5
(3,14) (2,14) 5
(3,14) (4,14) 5
(4,14) (3,14) 5
(4,14) (5,14) 5
(5,14) (4,14) 5
(1,15) (2,15) 5
(2,15) (1,15) 5
(2,15) (3,15) 5
(3,15) (2,15) 5
(3,15) (4,15) 5
(4,15) (3,15) 5
(4,15) (5,15) 5
(5,15) (4,15) 5
(1,16) (2,16) 5
(2,16) (1,16) 5
(2,16) (3,16) 5
(3,16) (2,16) 5
(3,16) (4,16) 5
(4,16) (3,16) 5
(4,16) (5,16) 5
(5,16) (4,16) 5
(1,17) (2,17) 5
(2,17) (1,17) 5
(2,17) (3,17) 5
(3,17) (2,17) 5
(3,17) (4,17) 5
(4,17) (3,17) 5
(4,17) (5,17) 5
(5,17) (4,17) 5
(1,18) (2,18) 5
(2,18) (1,18) 5
(2,18) (3,18) 5
(3,18) (2,18) 5
(3,18) (4,18) 5
(4,18) (3,18) 5
(4,18) (5,18) 5
(5,18) (4,18) 5
(1,19) (2,19) 5
(2,19) (1,19) 5
(2,19) (3,19) 5
(3,19) (2,19) 5
(3,19) (4,19) 5
(4,19) (3,19) 5
(4,19) (5,19) 5
(5,19) (4,19) 5
(1,20) (2,20) 5
(2,20) (1,20) 5
(2,20) (3,20) 5
(3,20) (2,20) 5
(3,20) (4,20) 5
(4,20) (3,20) 5
(4,20) (5,20) 5
(5,20) (4,20) 5
(1,21) (2,21) 5
(2,21) (1,21) 5
(2,21) (3,21) 5
(3,21) (2,21) 5
(3,21) (4,21) 5
(4,21) (3,21) 5
(4,21) (5,21) 5
(5,21) (4,21) 5
(1,22) (2,22) 5
(2,22) (1,22) 5
(2,22) (3,22) 5
(3,22) (2,22) 5
(3,22) (4,22) 5
(4,22) (3,22) 5
(4,22) (5,22) 5
(5,22) (4,22) 5
(1,23) (2,23) 5
(2,23) (1,23) 5
(2,23) (3,23) 5
(3,23) (2,23) 5
(3,23) (4,23) 5
(4,23) (3,23) 5
(4,23) (5,23) 5
(5,23) (4,23) 5
(1,24) (2,24) 5
(2,24) (1,24) 5
(2,24) (3,24) 5
(3,24) (2,24) 5
(3,24) (4,24) 5
(4,24) (3,24) 5
(4,24) (5,24) 5
(5,24) (4,24) 5
(1,25) (2,25) 5
(2,25) (1,25) 5
(2,25) (3,25) 5
(3,25) (2,25) 5
(3,25) (4,25) 5
(4,25) (3,25) 5
(4,25) (5,25) 5
(5,25) (4,25) 5
(1,26) (2,26) 5
(2,26) (1,26) 5
(2,26) (3,26) 5
(3,26) (2,26) 5
(3,26) (4,26) 5
(4,26) (3,26) 5
(4,26) (5,26) 5
(5,26) (4,26) 5
(1,27) (2,27) 5
(2,27) (1,27) 5
(2,27) (3,27) 5
(3,27) (2,27) 5
(3,27) (4,27) 5
(4,27) (3,27) 5
(4,27) (5,27) 5
(5,27) (4,27) 5
(1,28) (2,28) 5
(2,28) (1,28) 5
(2,28) (3,28) 5
(3,28) (2,28) 5
(3,28) (4,28) 5
(4,28) (3,28) 5
(4,28) (5,28) 5
(5,28) (4,28) 5
(1,29) (2,29) 5
(2,29) (1,29) 5
(2,29) (3,29) 5
(3,29) (2,29) 5
(3,29) (4,29) 5
(4,29) (3,29) 5
(4,29) (5,29) 5
(5,29) (4,29) 5
(1,30) (2,30) 5
(2,30) (1,30) 5
(2,30) (3,30) 5
(3,30) (2,30) 5
(3,30) (4,30) 5
(4,30) (3,30) 5
(4,30) (5,30) 5
(5,30) (4,30) 5
(1,31) (2,31) 5
(2,31) (1,31) 5
(2,31) (3,31) 5
(3,31) (2,31) 5
(3,31) (4,31) 5
(4,31) (3,31) 5
(4,31) (5,31) 5
(5,31) (4,31) 5
(1,32) (2,32) 5
(2,32) (1,32) 5
(2,32) (3,32) 5
(3,32) (2,32) 5
(3,32) (4,32) 5
(4,32) (3,32) 5
(4,32) (5,32) 5
(5,32) (4,32) 5
(1,33) (2,33) 5
(2,33) (1,33) 5
(2,33) (3,33) 5
(3,33) (2,33) 5
(3,33) (4,33) 5
(4,33) (3,33) 5
(4,33) (5,33) 5
(5,33) (4,33) 5
(1,34) (2,34) 5
(2,34) (1,34) 5
(2,34) (3,34) 5
(3,34) (2,34) 5
(3,34) (4,34) 5
(4,34) (3,34) 5
(4,34) (5,34) 5
(5,34) (4,34) 5
(1,35) (2,35) 5
(2,35) (1,35) 5
(2,35) (3,35) 5
(3,35) (2,35) 5
(3,35) (4,35) 5
(4,35) (3,35) 5
(4,35) (5,35) 5
(5,35) (4,35) 5
(1,36) (2,36) 5
(2,36) (1,36) 5
(2,36) (3,36) 5
(3,36) (2,36) 5
(3,36) (4,36) 5
(4,36) (3,36) 5
(4,36) (5,36) 5
(5,36) (4,36) 5
(1,37) (2,37) 5
(2,37) (1,37) 5
(2,37) (3,37) 5
(3,37) (2,37) 5
(3,37) (4,37) 5
(4,37) (3,37) 5
(4,37) (5,37) 5
(5,37) (4,37) 5
(1,38) (2,38) 5
(2,38) (1,38) 5
(2,38) (3,38) 5
(3,38) (2,38) 5
(3,38) (4,38) 5
(4,38) (3,38) 5
(4,38) (5,38) 5
(5,38) (4,38) 5
(1,39) (2,39) 5
(2,39) (1,39) 5
(2,39) (3,39) 5
(3,39) (2,39) 5
(3,39) (4,39) 5
(4,39) (3,39) 5
(4,39) (5,39) 5
(5,39) (4,39) 5
(1,40) (2,40) 5
(2,40) (1,40) 5
(2,40) (3,40) 5
(3,40) (2,40) 5
(3,40) (4,40) 5
(4,40) (3,40) 5
(4,40) (5,40) 5
(5,40) (4,40) 5
(1,40) t 5
(2,40) t 5
(3,40) t 5
(4,40) t 5
(5,40) t 5
