s (1,1) 33
s (2,1) 79
s (3,1) 89
s (4,1) 88
s (5,1) 84
(5,34) (5,35) 94
(1,35) (1,36) 72
(2,35) (2,36) 91
(3,35) (3,36) 86
(4,35) (4,36) 7
(5,35) (5,36) 79
(1,36) (1,37) 76
(2,36) (2,37) 41
(3,36) (3,37) 8
(4,36) (4,37) 99
(5,36) (5,37) 78
(1,37) (1,38) 3
(2,37) (2,38) 48
(3,37) (3,38) 36
(4,37) (4,38) 87
(5,37) (5,38) 71
(1,38) (1,39) 57
(2,38) (2,39) 31
(3,38) (3,39) 85
(4,38) (4,39) 92
(5,38) (5,39) 42
(1,39) (1,40) 8
(2,39) (2,40) 63
(3,39) (3,40) 20
(4,39) (4,40) 56
(5,39) (5,40) 87
(1,40) (1,41) 98
(2,40) (2,41) 70
(3,40) (3,41) 31
(4,40) (4,41) 29
(5,40) (5,41) 67
(1,41) (1,42) 20
(2,41) (2,42) 85
(3,41) (3,42) 77
(4,41) (4,42) 92
(5,41) (5,42) 87
(1,42) (1,43) 68
(2,42) (2,43) 74
(3,42) (3,43) 10
(4,42) (4,43) 59
(5,42) (5,43) 13
(1,43) (1,44) 20
(2,43) (2,44) 77
(3,43) (3,44) 54
(4,43) (4,44) 38
(5,43) (5,44) 39
(1,44) (1,45) 72
(2,44) (2,45) 78
(3,44) (3,45) 35
(4,44) (4,45) 91
(5,44) (5,45) 49
(1,45) (1,46) 64
(2,45) (2,46) 5
(3,45) (3,46) 87
(4,45) (4,46) 5
(5,45) (5,46) 53
(1,46) (1,47) 96
(2,46) (2,47) 89
(3,46) (3,47) 37
(4,46) (4,47) 39
(5,46) (5,47) 91
(1,47) (1,48) 15
(2,47) (2,48) 20
(3,47) (3,48) 75
(4,47) (4,48) 75
(5,47) (5,48) 44
(1,48) (1,49) 49
(2,48) (2,49) 75
(3,48) (3,49) 29
(4,48) (4,49) 22
(5,48) (5,49) 29
(1,49) (1,50) 63
(2,49) (2,50) 69
(3,49) (3,50) 32
(4,49) (4,50) 34
(5,49) (5,50) 94
(1,50) (1,51) 80
(2,50) (2,51) 21
(3,50) (3,51) 51
(4,50) (4,51) 11
(5,50) (5,51) 26
(1,51) (1,52) 71
(2,51) (2,52) 15
(3,51) (3,52) 37
(4,51) (4,52) 29
(5,51) (5,52) 61
(1,52) (1,53) 54
(2,52) (2,53) 65
(3,52) (3,53) 50
(4,52) (4,53) 65
(5,52) (5,53) 48
(1,53) (1,54) 3
(2,53) (2,54) 13
(3,53) (3,54) 78
(4,53) (4,54) 41
(5,53) (5,54) 20
(1,54) (1,55) 96
(2,54) (2,55) 71
(3,54) (3,55) 66
(4,54) (4,55) 6
(5,54) (5,55) 17
(1,55) (1,56) 47
(2,55) (2,56) 89
(3,55) (3,56) 53
(4,55) (4,56) 58
(5,55) (5,56) 29
(1,56) (1,57) 23
(2,56) (2,57) 91
(3,56) (3,57) 86
(4,56) (4,57) 13
(5,56) (5,57) 99
(1,57) (1,58) 92
(2,57) (2,58) 58
(3,57) (3,58) 37
(4,57) (4,58) 84
(5,57) (5,58) 72
(1,58) (1,59) 94
(2,58) (2,59) 51
(3,58) (3,59) 25
(4,58) (4,59) 5
(5,58) (5,59) 5
(1,59) (1,60) 11
(2,59) (2,60) 97
(3,59) (3,60) 5
(4,59) (4,60) 93
(5,59) (5,60) 93
(1,60) (1,61) 98
(2,60) (2,61) 17
(3,60) (3,61) 60
(4,60) (4,61) 41
(5,60) (5,61) 47
(1,61) (1,62) 17
(2,61) (2,62) 53
(3,61) (3,62) 71
(4,61) (4,62) 97
(5,61) (5,62) 1
(1,62) (1,63) 94
(2,62) (2,63) 1
(3,62) (3,63) 58
(4,62) (4,63) 23
(5,62) (5,63) 45
(1,63) (1,64) 12
(2,63) (2,64) 73
(3,63) (3,64) 43
(4,63) (4,64) 19
(5,63) (5,64) 32
(1,64) (1,65) 86
(2,64) (2,65) 48
(3,64) (3,65) 65
(4,64) (4,65) 73
(5,64) (5,65) 3
(1,65) (1,66) 77
(2,65) (2,66) 51
(3,65) (3,66) 55
(4,65) (4,66) 6
(5,65) (5,66) 37
(1,66) (1,67) 52
(2,66) (2,67) 13
(3,66) (3,67) 85
(4,66) (4,67) 35
(5,66) (5,67) 15
(1,67) (1,68) 38
(2,67) (2,68) 16
(3,67) (3,68) 99
(4,67) (4,68) 83
(5,67) (5,68) 4
(1,68) (1,69) 61
(2,68) (2,69) 74
(3,68) (3,69) 26
(4,68) (4,69) 74
(5,68) (5,69) 5
(1,69) (1,70) 69
(2,69) (2,70) 16
(3,69) (3,70) 89
(4,69) (4,70) 16
(5,69) (5,70) 45
(1,70) (1,71) 96
(2,70) (2,71) 56
(3,70) (3,71) 95
(4,70) (4,71) 37
(5,70) (5,71) 21
(1,71) (1,72) 58
(2,71) (2,72) 43
(3,71) (3,72) 25
(4,71) (4,72) 46
(5,71) (5,72) 86
(1,72) (1,73) 25
(2,72) (2,73) 40
(3,72) (3,73) 64
(4,72) (4,73) 17
(5,72) (5,73) 53
(1,73) (1,74) 82
(2,73) (2,74) 12
(3,73) (3,74) 74
(4,73) (4,74) 8
(5,73) (5,74) 53
(1,74) (1,75) 97
(2,74) (2,75) 47
(3,74) (3,75) 70
(4,74) (4,75) 50
(5,74) (5,75) 45
(1,75) (1,76) 55
(2,75) (2,76) 22
(3,75) (3,76) 62
(4,75) (4,76) 76
(5,75) (5,76) 14
(1,76) (1,77) 29
(2,76) (2,77) 78
(3,76) (3,77) 75
(4,76) (4,77) 57
(5,76) (5,77) 45
(1,77) (1,78) 88
(2,77) (2,78) 78
(3,77) (3,78) 95
(4,77) (4,78) 98
(5,77) (5,78) 41
(1,78) (1,79) 59
(2,78) (2,79) 2
(3,78) (3,79) 40
(4,78) (4,79) 13
(5,78) (5,79) 79
(1,79) (1,80) 46
(2,79) (2,80) 4
(3,79) (3,80) 98
(4,79) (4,80) 72
(5,79) (5,80) 69
(1,80) (1,81) 49
(2,80) (2,81) 30
(3,80) (3,81) 43
(4,80) (4,81) 31
(5,80) (5,81) 52
(1,81) (1,82) 59
(2,81) (2,82) 5
(3,81) (3,82) 17
(4,81) (4,82) 76
(5,81) (5,82) 20
(1,82) (1,83) 96
(2,82) (2,83) 77
(3,82) (3,83) 39
(4,82) (4,83) 94
(5,82) (5,83) 42
(1,83) (1,84) 88
(2,83) (2,84) 30
(3,83) (3,84) 48
(4,83) (4,84) 20
(5,83) (5,84) 64
(1,84) (1,85) 11
(2,84) (2,85) 29
(3,84) (3,85) 50
(4,84) (4,85) 25
(5,84) (5,85) 70
(1,85) (1,86) 33
(2,85) (2,86) 65
(3,85) (3,86) 32
(4,85) (4,86) 67
(5,85) (5,86) 83
(1,86) (1,87) 71
(2,86) (2,87) 24
(3,86) (3,87) 39
(4,86) (4,87) 74
(5,86) (5,87) 95
(1,87) (1,88) 93
(2,87) (2,88) 6
(3,87) (3,88) 98
(4,87) (4,88) 60
(5,87) (5,88) 70
(1,88) (1,89) 42
(2,88) (2,89) 55
(3,88) (3,89) 72
(4,88) (4,89) 62
(5,88) (5,89) 3
(1,89) (1,90) 89
(2,89) (2,90) 25
(3,89) (3,90) 23
(4,89) (4,90) 84
(5,89) (5,90) 14
(1,90) (1,91) 72
(2,90) (2,91) 72
(3,90) (3,91) 55
(4,90) (4,91) 57
(5,90) (5,91) 51
(1,91) (1,92) 2
(2,91) (2,92) 70
(3,91) (3,92) 31
(4,91) (4,92) 72
(5,91) (5,92) 98
(1,92) (1,93) 9
(2,92) (2,93) 5
(3,92) (3,93) 13
(4,92) (4,93) 57
(5,92) (5,93) 88
(1,93) (1,94) 58
(2,93) (2,94) 59
(3,93) (3,94) 97
(4,93) (4,94) 84
(5,93) (5,94) 3
(1,94) (1,95) 15
(2,94) (2,95) 31
(3,94) (3,95) 62
(4,94) (4,95) 29
(5,94) (5,95) 28
(1,95) (1,96) 6
(2,95) (2,96) 48
(3,95) (3,96) 11
(4,95) (4,96) 50
(5,95) (5,96) 48
(1,96) (1,97) 69
(2,96) (2,97) 13
(3,96) (3,97) 13
(4,96) (4,97) 60
(5,96) (5,97) 77
(1,97) (1,98) 64
(2,97) (2,98) 1
(3,97) (3,98) 9
(4,97) (4,98) 78
(5,97) (5,98) 92
(1,98) (1,99) 46
(2,98) (2,99) 65
(3,98) (3,99) 86
(4,98) (4,99) 72
(5,98) (5,99) 29
(1,99) (1,100) 86
(2,99) (2,100) 5
(3,99) (3,100) 89
(4,99) (4,100) 94
(5,99) (5,100) 10
(1,100) (1,101) 67
(2,100) (2,101) 26
(3,100) (3,101) 82
(4,100) (4,101) 37
(5,100) (5,101) 87
(1,101) (1,102) 81
(2,101) (2,102) 36
(3,101) (3,102) 33
(4,101) (4,102) 91
(5,101) (5,102) 99
(1,102) (1,103) 51
(2,102) (2,103) 62
(3,102) (3,103) 36
(4,102) (4,103) 6
(5,102) (5,103) 43
(1,103) (1,104) 52
(2,103) (2,104) 74
(3,103) (3,104) 4
(4,103) (4,104) 29
(5,103) (5,104) 90
(1,104) (1,105) 1
(2,104) (2,105) 91
(3,104) (3,105) 47
(4,104) (4,105) 33
(5,104) (5,105) 67
(1,105) (1,106) 84
(2,105) (2,106) 17
(3,105) (3,106) 62
(4,105) (4,106) 90
(5,105) (5,106) 44
(1,106) (1,107) 41
(2,106) (2,107) 1
(3,106) (3,107) 23
(4,106) (4,107) 11
(5,106) (5,107) 12
(1,107) (1,108) 43
(2,107) (2,108) 4
(3,107) (3,108) 72
(4,107) (4,108) 1
(5,107) (5,108) 59
(1,108) (1,109) 60
(2,108) (2,109) 75
(3,108) (3,109) 70
(4,108) (4,109) 89
(5,108) (5,109) 84
(1,109) (1,110) 79
(2,109) (2,110) 55
(3,109) (3,110) 67
(4,109) (4,110) 10
(5,109) (5,110) 83
(1,110) (1,111) 35
(2,110) (2,111) 58
(3,110) (3,111) 54
(4,110) (4,111) 20
(5,110) (5,111) 9
(1,111) (1,112) 97
(2,111) (2,112) 72
(3,111) (3,112) 76
(4,111) (4,112) 51
(5,111) (5,112) 17
(1,112) (1,113) 23
(2,112) (2,113) 2
(3,112) (3,113) 18
(4,112) (4,113) 1
(5,112) (5,113) 31
(1,113) (1,114) 94
(2,113) (2,114) 23
(3,113) (3,114) 57
(4,113) (4,114) 11
(5,113) (5,114) 48
(1,114) (1,115) 2
(2,114) (2,115) 15
(3,114) (3,115) 74
(4,114) (4,115) 1
(5,114) (5,115) 60
(1,115) (1,116) 65
(2,115) (2,116) 3
(3,115) (3,116) 11
(4,115) (4,116) 84
(5,115) (5,116) 82
(1,116) (1,117) 84
(2,116) (2,117) 47
(3,116) (3,117) 75
(4,116) (4,117) 75
(5,116) (5,117) 39
(1,117) (1,118) 44
(2,117) (2,118) 78
(3,117) (3,118) 18
(4,117) (4,118) 96
(5,117) (5,118) 10
(1,118) (1,119) 27
(2,118) (2,119) 47
(3,118) (3,119) 8
(4,118) (4,119) 8
(5,118) (5,119) 59
(1,119) (1,120) 100
(2,119) (2,120) 48
(3,119) (3,120) 95
(4,119) (4,120) 53
(5,119) (5,120) 47
(1,120) (1,121) 39
(2,120) (2,121) 97
(3,120) (3,121) 16
(4,120) (4,121) 66
(5,120) (5,121) 97
(1,121) (1,122) 55
(2,121) (2,122) 72
(3,121) (3,122) 26
(4,121) (4,122) 68
(5,121) (5,122) 59
(1,122) (1,123) 18
(2,122) (2,123) 5
(3,122) (3,123) 84
(4,122) (4,123) 10
(5,122) (5,123) 97
(1,123) (1,124) 99
(2,123) (2,124) 75
(3,123) (3,124) 94
(4,123) (4,124) 21
(5,123) (5,124) 4
(1,124) (1,125) 48
(2,124) (2,125) 64
(3,124) (3,125) 7
(4,124) (4,125) 61
(5,124) (5,125) 69
(1,125) (1,126) 1
(2,125) (2,126) 35
(3,125) (3,126) 80
(4,125) (4,126) 53
(5,125) (5,126) 26
(1,126) (1,127) 75
(2,126) (2,127) 53
(3,126) (3,127) 52
(4,126) (4,127) 94
(5,126) (5,127) 41
(1,127) (1,128) 23
(2,127) (2,128) 42
(3,127) (3,128) 19
(4,127) (4,128) 41
(5,127) (5,128) 33
(1,128) (1,129) 42
(2,128) (2,129) 50
(3,128) (3,129) 57
(4,128) (4,129) 51
(5,128) (5,129) 87
(1,129) (1,130) 81
(2,129) (2,130) 72
(3,129) (3,130) 97
(4,129) (4,130) 14
(5,129) (5,130) 54
(1,130) (1,131) 74
(2,130) (2,131) 98
(3,130) (3,131) 19
(4,130) (4,131) 43
(5,130) (5,131) 53
(1,131) (1,132) 25
(2,131) (2,132) 43
(3,131) (3,132) 49
(4,131) (4,132) 15
(5,131) (5,132) 57
(1,132) (1,133) 15
(2,132) (2,133) 51
(3,132) (3,133) 12
(4,132) (4,133) 4
(5,132) (5,133) 42
(1,133) (1,134) 3
(2,133) (2,134) 55
(3,133) (3,134) 63
(4,133) (4,134) 85
(5,133) (5,134) 18
(1,134) (1,135) 62
(2,134) (2,135) 77
(3,134) (3,135) 71
(4,134) (4,135) 69
(5,134) (5,135) 58
(1,1) (2,1) 73
(2,1) (1,1) 93
(2,1) (3,1) 32
(3,1) (2,1) 77
(3,1) (4,1) 93
(4,1) (3,1) 68
(4,1) (5,1) 17
(5,1) (4,1) 58
(1,2) (2,2) 49
(2,2) (1,2) 18
(2,2) (3,2) 11
(3,2) (2,2) 95
(3,2) (4,2) 69
(4,2) (3,2) 88
(4,2) (5,2) 65
(5,2) (4,2) 98
(1,3) (2,3) 93
(2,3) (1,3) 49
(2,3) (3,3) 61
(3,3) (2,3) 90
(3,3) (4,3) 51
(4,3) (3,3) 85
(4,3) (5,3) 85
(5,3) (4,3) 14
(1,4) (2,4) 46
(2,4) (1,4) 97
(2,4) (3,4) 1
(3,4) (2,4) 64
(3,4) (4,4) 45
(4,4) (3,4) 54
(4,4) (5,4) 46
(5,4) (4,4) 36
(1,5) (2,5) 3
(2,5) (1,5) 65
(2,5) (3,5) 7
(3,5) (2,5) 84
(3,5) (4,5) 79
(4,5) (3,5) 61
(4,5) (5,5) 39
(5,5) (4,5) 24
(1,6) (2,6) 65
(2,6) (1,6) 41
(2,6) (3,6) 44
(3,6) (2,6) 27
(3,6) (4,6) 24
(4,6) (3,6) 73
(4,6) (5,6) 80
(5,6) (4,6) 44
(1,7) (2,7) 30
(2,7) (1,7) 48
(2,7) (3,7) 41
(3,7) (2,7) 71
(3,7) (4,7) 45
(4,7) (3,7) 1
(4,7) (5,7) 79
(5,7) (4,7) 88
(1,8) (2,8) 72
(2,8) (1,8) 90
(2,8) (3,8) 42
(3,8) (2,8) 79
(3,8) (4,8) 55
(4,8) (3,8) 7
(4,8) (5,8) 72
(5,8) (4,8) 15
(1,9) (2,9) 40
(2,9) (1,9) 100
(2,9) (3,9) 90
(3,9) (2,9) 41
(3,9) (4,9) 40
(4,9) (3,9) 49
(4,9) (5,9) 71
(5,9) (4,9) 88
(1,10) (2,10) 53
(2,10) (1,10) 98
(2,10) (3,10) 78
(3,10) (2,10) 85
(3,10) (4,10) 94
(4,10) (3,10) 87
(4,10) (5,10) 82
(5,10) (4,10) 33
(1,11) (2,11) 40
(2,11) (1,11) 96
(2,11) (3,11) 68
(3,11) (2,11) 28
(3,11) (4,11) 52
(4,11) (3,11) 38
(4,11) (5,11) 5
(5,11) (4,11) 55
(1,12) (2,12) 52
(2,12) (1,12) 9
(2,12) (3,12) 10
(3,12) (2,12) 98
(3,12) (4,12) 46
(4,12) (3,12) 38
(4,12) (5,12) 40
(5,12) (4,12) 11
(1,13) (2,13) 57
(2,13) (1,13) 49
(2,13) (3,13) 53
(3,13) (2,13) 59
(3,13) (4,13) 66
(4,13) (3,13) 16
(4,13) (5,13) 89
(5,13) (4,13) 34
(1,14) (2,14) 54
(2,14) (1,14) 36
(2,14) (3,14) 13
(3,14) (2,14) 19
(3,14) (4,14) 99
(4,14) (3,14) 36
(4,14) (5,14) 80
(5,14) (4,14) 10
(1,15) (2,15) 92
(2,15) (1,15) 47
(2,15) (3,15) 36
(3,15) (2,15) 13
(3,15) (4,15) 87
(4,15) (3,15) 36
(4,15) (5,15) 8
(5,15) (4,15) 10
(1,16) (2,16) 18
(2,16) (1,16) 98
(2,16) (3,16) 92
(3,16) (2,16) 79
(3,16) (4,16) 95
(4,16) (3,16) 14
(4,16) (5,16) 5
(5,16) (4,16) 25
(1,17) (2,17) 97
(2,17) (1,17) 24
(2,17) (3,17) 100
(3,17) (2,17) 39
(3,17) (4,17) 27
(4,17) (3,17) 30
(4,17) (5,17) 37
(5,17) (4,17) 43
(1,18) (2,18) 12
(2,18) (1,18) 5
(2,18) (3,18) 9
(3,18) (2,18) 15
(3,18) (4,18) 43
(4,18) (3,18) 9
(4,18) (5,18) 73
(5,18) (4,18) 62
(1,19) (2,19) 86
(2,19) (1,19) 20
(2,19) (3,19) 22
(3,19) (2,19) 54
(3,19) (4,19) 47
(4,19) (3,19) 79
(4,19) (5,19) 35
(5,19) (4,19) 93
(1,20) (2,20) 44
(2,20) (1,20) 28
(2,20) (3,20) 86
(3,20) (2,20) 92
(3,20) (4,20) 36
(4,20) (3,20) 25
(4,20) (5,20) 48
(5,20) (4,20) 88
(1,21) (2,21) 94
(2,21) (1,21) 7
(2,21) (3,21) 18
(3,21) (2,21) 73
(3,21) (4,21) 14
(4,21) (3,21) 83
(4,21) (5,21) 84
(5,21) (4,21) 10
(1,22) (2,22) 10
(2,22) (1,22) 37
(2,22) (3,22) 86
(3,22) (2,22) 38
(3,22) (4,22) 75
(4,22) (3,22) 27
(4,22) (5,22) 98
(5,22) (4,22) 81
(1,23) (2,23) 10
(2,23) (1,23) 33
(2,23) (3,23) 26
(3,23) (2,23) 90
(3,23) (4,23) 18
(4,23) (3,23) 83
(4,23) (5,23) 91
(5,23) (4,23) 29
(1,24) (2,24) 44
(2,24) (1,24) 80
(2,24) (3,24) 63
(3,24) (2,24) 66
(3,24) (4,24) 11
(4,24) (3,24) 30
(4,24) (5,24) 92
(5,24) (4,24) 84
(1,25) (2,25) 77
(2,25) (1,25) 31
(2,25) (3,25) 61
(3,25) (2,25) 13
(3,25) (4,25) 59
(4,25) (3,25) 83
(4,25) (5,25) 86
(5,25) (4,25) 79
(1,26) (2,26) 85
(2,26) (1,26) 9
(2,26) (3,26) 79
(3,26) (2,26) 68
(3,26) (4,26) 98
(4,26) (3,26) 56
(4,26) (5,26) 86
(5,26) (4,26) 63
(1,27) (2,27) 7
(2,27) (1,27) 86
(2,27) (3,27) 96
(3,27) (2,27) 54
(3,27) (4,27) 66
(4,27) (3,27) 8
(4,27) (5,27) 55
(5,27) (4,27) 81
(1,28) (2,28) 99
(2,28) (1,28) 29
(2,28) (3,28) 22
(3,28) (2,28) 21
(3,28) (4,28) 22
(4,28) (3,28) 49
(4,28) (5,28) 65
(5,28) (4,28) 34
(1,29) (2,29) 5
(2,29) (1,29) 87
(2,29) (3,29) 31
(3,29) (2,29) 67
(3,29) (4,29) 78
(4,29) (3,29) 46
(4,29) (5,29) 58
(5,29) (4,29) 19
(1,30) (2,30) 88
(2,30) (1,30) 57
(2,30) (3,30) 2
(3,30) (2,30) 9
(3,30) (4,30) 91
(4,30) (3,30) 14
(4,30) (5,30) 34
(5,30) (4,30) 45
(1,31) (2,31) 22
(2,31) (1,31) 84
(2,31) (3,31) 40
(3,31) (2,31) 38
(3,31) (4,31) 77
(4,31) (3,31) 6
(4,31) (5,31) 24
(5,31) (4,31) 29
(1,32) (2,32) 8
(2,32) (1,32) 28
(2,32) (3,32) 37
(3,32) (2,32) 100
(3,32) (4,32) 51
(4,32) (3,32) 86
(4,32) (5,32) 36
(5,32) (4,32) 25
(1,33) (2,33) 32
(2,33) (1,33) 80
(2,33) (3,33) 58
(3,33) (2,33) 26
(3,33) (4,33) 79
(4,33) (3,33) 68
(4,33) (5,33) 16
(5,33) (4,33) 13
(1,34) (2,34) 53
(2,34) (1,34) 4
(2,34) (3,34) 77
(3,34) (2,34) 80
(3,34) (4,34) 80
(4,34) (3,34) 43
(4,34) (5,34) 49
(5,34) (4,34) 62
(1,35) (2,35) 10
(2,35) (1,35) 63
(2,35) (3,35) 58
(3,35) (2,35) 78
(3,35) (4,35) 57
(4,35) (3,35) 9
(4,35) (5,35) 45
(5,35) (4,35) 62
(1,36) (2,36) 52
(2,36) (1,36) 44
(2,36) (3,36) 86
(3,36) (2,36) 41
(3,36) (4,36) 49
(4,36) (3,36) 97
(4,36) (5,36) 28
(5,36) (4,36) 41
(1,37) (2,37) 3
(2,37) (1,37) 77
(2,37) (3,37) 16
(3,37) (2,37) 11
(3,37) (4,37) 46
(4,37) (3,37) 61
(4,37) (5,37) 16
(5,37) (4,37) 89
(1,38) (2,38) 97
(2,38) (1,38) 6
(2,38) (3,38) 22
(3,38) (2,38) 42
(3,38) (4,38) 8
(4,38) (3,38) 61
(4,38) (5,38) 59
(5,38) (4,38) 63
(1,39) (2,39) 4
(2,39) (1,39) 70
(2,39) (3,39) 74
(3,39) (2,39) 18
(3,39) (4,39) 29
(4,39) (3,39) 93
(4,39) (5,39) 38
(5,39) (4,39) 22
(1,40) (2,40) 55
(2,40) (1,40) 18
(2,40) (3,40) 35
(3,40) (2,40) 50
(3,40) (4,40) 36
(4,40) (3,40) 2
(4,40) (5,40) 21
(5,40) (4,40) 75
(1,41) (2,41) 77
(2,41) (1,41) 44
(2,41) (3,41) 98
(3,41) (2,41) 98
(3,41) (4,41) 32
(4,41) (3,41) 22
(4,41) (5,41) 15
(5,41) (4,41) 19
(1,42) (2,42) 67
(2,42) (1,42) 85
(2,42) (3,42) 23
(3,42) (2,42) 55
(3,42) (4,42) 60
(4,42) (3,42) 39
(4,42) (5,42) 85
(5,42) (4,42) 78
(1,43) (2,43) 20
(2,43) (1,43) 66
(2,43) (3,43) 83
(3,43) (2,43) 61
(3,43) (4,43) 17
(4,43) (3,43) 27
(4,43) (5,43) 28
(5,43) (4,43) 40
(1,44) (2,44) 96
(2,44) (1,44) 78
(2,44) (3,44) 82
(3,44) (2,44) 56
(3,44) (4,44) 21
(4,44) (3,44) 70
(4,44) (5,44) 60
(5,44) (4,44) 49
(1,45) (2,45) 40
(2,45) (1,45) 77
(2,45) (3,45) 68
(3,45) (2,45) 63
(3,45) (4,45) 100
(4,45) (3,45) 49
(4,45) (5,45) 85
(5,45) (4,45) 56
(1,46) (2,46) 45
(2,46) (1,46) 22
(2,46) (3,46) 77
(3,46) (2,46) 59
(3,46) (4,46) 38
(4,46) (3,46) 8
(4,46) (5,46) 82
(5,46) (4,46) 13
(1,47) (2,47) 18
(2,47) (1,47) 50
(2,47) (3,47) 43
(3,47) (2,47) 60
(3,47) (4,47) 62
(4,47) (3,47) 49
(4,47) (5,47) 10
(5,47) (4,47) 53
(1,48) (2,48) 8
(2,48) (1,48) 11
(2,48) (3,48) 12
(3,48) (2,48) 70
(3,48) (4,48) 30
(4,48) (3,48) 59
(4,48) (5,48) 77
(5,48) (4,48) 45
(1,49) (2,49) 41
(2,49) (1,49) 81
(2,49) (3,49) 78
(3,49) (2,49) 61
(3,49) (4,49) 54
(4,49) (3,49) 63
(4,49) (5,49) 37
(5,49) (4,49) 39
(1,50) (2,50) 80
(2,50) (1,50) 39
(2,50) (3,50) 68
(3,50) (2,50) 46
(3,50) (4,50) 96
(4,50) (3,50) 94
(4,50) (5,50) 95
(5,50) (4,50) 31
