s (1,1) 1
s (2,1) 1
s (3,1) 4
s (4,1) 1
s (5,1) 4
(3,16) (3,17) 5
(4,16) (4,17) 5
(5,16) (5,17) 4
(1,17) (1,18) 3
(2,17) (2,18) 1
(3,17) (3,18) 3
(4,17) (4,18) 1
(5,17) (5,18) 3
(1,18) (1,19) 4
(2,18) (2,19) 5
(3,18) (3,19) 4
(4,18) (4,19) 4
(5,18) (5,19) 5
(1,19) (1,20) 4
(2,19) (2,20) 2
(3,19) (3,20) 1
(4,19) (4,20) 2
(5,19) (5,20) 3
(1,20) (1,21) 3
(2,20) (2,21) 5
(3,20) (3,21) 3
(4,20) (4,21) 1
(5,20) (5,21) 5
(1,21) (1,22) 4
(2,21) (2,22) 5
(3,21) (3,22) 2
(4,21) (4,22) 5
(5,21) (5,22) 4
(1,22) (1,23) 5
(2,22) (2,23) 5
(3,22) (3,23) 3
(4,22) (4,23) 5
(5,22) (5,23) 2
(1,23) (1,24) 4
(2,23) (2,24) 5
(3,23) (3,24) 2
(4,23) (4,24) 1
(5,23) (5,24) 1
(1,24) (1,25) 2
(2,24) (2,25) 5
(3,24) (3,25) 1
(4,24) (4,25) 1
(5,24) (5,25) 3
(1,25) (1,26) 2
(2,25) (2,26) 4
(3,25) (3,26) 2
(4,25) (4,26) 4
(5,25) (5,26) 4
(1,26) (1,27) 5
(2,26) (2,27) 2
(3,26) (3,27) 5
(4,26) (4,27) 4
(5,26) (5,27) 3
(1,27) (1,28) 2
(2,27) (2,28) 2
(3,27) (3,28) 1
(4,27) (4,28) 1
(5,27) (5,28) 1
(1,28) (1,29) 2
(2,28) (2,29) 1
(3,28) (3,29) 4
(4,28) (4,29) 2
(5,28) (5,29) 2
(1,29) (1,30) 4
(2,29) (2,30) 4
(3,29) (3,30) 3
(4,29) (4,30) 4
(5,29) (5,30) 3
(1,30) (1,31) 2
(2,30) (2,31) 2
(3,30) (3,31) 1
(4,30) (4,31) 2
(5,30) (5,31) 2
(1,31) (1,32) 2
(2,31) (2,32) 3
(3,31) (3,32) 3
(4,31) (4,32) 3
(5,31) (5,32) 5
(1,32) (1,33) 3
(2,32) (2,33) 4
(3,32) (3,33) 5
(4,32) (4,33) 1
(5,32) (5,33) 4
(1,33) (1,34) 4
(2,33) (2,34) 2
(3,33) (3,34) 5
(4,33) (4,34) 1
(5,33) (5,34) 4
(1,34) (1,35) 4
(2,34) (2,35) 2
(3,34) (3,35) 2
(4,34) (4,35) 4
(5,34) (5,35) 5
(1,1) (2,1) 2
(2,1) (1,1) 2
(2,1) (3,1) 5
(3,1) (2,1) 2
(3,1) (4,1) 5
(4,1) (3,1) 1
(4,1) (5,1) 5
(5,1) (4,1) 3
(1,2) (2,2) 1
(2,2) (1,2) 2
(2,2) (3,2) 1
(3,2) (2,2) 2
(3,2) (4,2) 2
(4,2) (3,2) 5
(4,2) (5,2) 2
(5,2) (4,2) 1
(1,3) (2,3) 4
(2,3) (1,3) 5
(2,3) (3,3) 4
(3,3) (2,3) 1
(3,3) (4,3) 1
(4,3) (3,3) 3
(4,3) (5,3) 1
(5,3) (4,3) 1
(1,4) (2,4) 5
(2,4) (1,4) 5
(2,4) (3,4) 3
(3,4) (2,4) 4
(3,4) (4,4) 2
(4,4) (3,4) 1
(4,4) (5,4) 4
(5,4) (4,4) 5
(1,5) (2,5) 2
(2,5) (1,5) 2
(2,5) (3,5) 4
(3,5) (2,5) 1
(3,5) (4,5) 2
(4,5) (3,5) 4
(4,5) (5,5) 3
(5,5) (4,5) 2
(1,6) (2,6) 1
(2,6) (1,6) 5
(2,6) (3,6) 3
(3,6) (2,6) 5
(3,6) (4,6) 3
(4,6) (3,6) 3
(4,6) (5,6) 5
(5,6) (4,6) 1
(1,7) (2,7) 1
(2,7) (1,7) 5
(2,7) (3,7) 5
(3,7) (2,7) 1
(3,7) (4,7) 5
(4,7) (3,7) 3
(4,7) (5,7) 3
(5,7) (4,7) 3
(1,8) (2,8) 1
(2,8) (1,8) 5
(2,8) (3,8) 2
(3,8) (2,8) 2
(3,8) (4,8) 4
(4,8) (3,8) 1
(4,8) (5,8) 3
(5,8) (4,8) 4
(1,9) (2,9) 4
(2,9) (1,9) 4
(2,9) (3,9) 1
(3,9) (2,9) 4
(3,9) (4,9) 5
(4,9) (3,9) 3
(4,9) (5,9) 4
(5,9) (4,9) 2
(1,10) (2,10) 2
(2,10) (1,10) 5
(2,10) (3,10) 2
(3,10) (2,10) 3
(3,10) (4,10) 3
(4,10) (3,10) 4
(4,10) (5,10) 4
(5,10) (4,10) 5
(1,11) (2,11) 3
(2,11) (1,11) 2
(2,11) (3,11) 3
(3,11) (2,11) 2
(3,11) (4,11) 2
(4,11) (3,11) 3
(4,11) (5,11) 1
(5,11) (4,11) 5
(1,12) (2,12) 1
(2,12) (1,12) 5
(2,12) (3,12) 2
(3,12) (2,12) 3
(3,12) (4,12) 1
(4,12) (3,12) 2
(4,12) (5,12) 4
(5,12) (4,12) 3
(1,13) (2,13) 5
(2,13) (1,13) 4
(2,13) (3,13) 3
(3,13) (2,13) 5
(3,13) (4,13) 1
(4,13) (3,13) 4
(4,13) (5,13) 5
(5,13) (4,13) 2
(1,14) (2,14) 5
(2,14) (1,14) 3
(2,14) (3,14) 3
(3,14) (2,14) 3
(3,14) (4,14) 4
(4,14) (3,14) 3
(4,14) (5,14) 5
(5,14) (4,14) 3
(1,15) (2,15) 5
(2,15) (1,15) 4
(2,15) (3,15) 3
(3,15) (2,15) 2
(3,15) (4,15) 5
(4,15) (3,15) 3
(4,15) (5,15) 3
(5,15) (4,15) 3
(1,16) (2,16) 4
(2,16) (1,16) 4
(2,16) (3,16) 5
(3,16) (2,16) 5
(3,16) (4,16) 5
(4,16) (3,16) 4
(4,16) (5,16) 4
(5,16) (4,16) 5
(1,17) (2,17) 1
(2,17) (1,17) 4
(2,17) (3,17) 5
(3,17) (2,17) 2
(3,17) (4,17) 3
(4,17) (3,17) 1
(4,17) (5,17) 4
(5,17) (4,17) 1
(1,18) (2,18) 3
(2,18) (1,18) 3
(2,18) (3,18) 4
(3,18) (2,18) 4
(3,18) (4,18) 5
(4,18) (3,18) 3
(4,18) (5,18) 5
(5,18) (4,18) 1
(1,19) (2,19) 4
(2,19) (1,19) 5
(2,19) (3,19) 3
(3,19) (2,19) 2
(3,19) (4,19) 3
(4,19) (3,19) 3
(4,19) (5,19) 4
(5,19) (4,19) 4
(1,20) (2,20) 1
(2,20) (1,20) 5
(2,20) (3,20) 3
(3,20) (2,20) 1
(3,20) (4,20) 5
(4,20) (3,20) 3
(4,20) (5,20) 4
(5,20) (4,20) 3
(1,21) (2,21) 4
(2,21) (1,21) 4
(2,21) (3,21) 5
(3,21) (2,21) 4
(3,21) (4,21) 1
(4,21) (3,21) 2
(4,21) (5,21) 1
(5,21) (4,21) 4
(1,22) (2,22) 3
(2,22) (1,22) 1
(2,22) (3,22) 1
(3,22) (2,22) 1
(3,22) (4,22) 1
(4,22) (3,22) 5
(4,22) (5,22) 5
(5,22) (4,22) 2
(1,23) (2,23) 2
(2,23) (1,23) 2
(2,23) (3,23) 5
(3,23) (2,23) 1
(3,23) (4,23) 5
(4,23) (3,23) 1
(4,23) (5,23) 5
(5,23) (4,23) 1
(1,24) (2,24) 3
(2,24) (1,24) 1
(2,24) (3,24) 2
(3,24) (2,24) 5
(3,24) (4,24) 1
(4,24) (3,24) 2
(4,24) (5,24) 3
(5,24) (4,24) 1
(1,25) (2,25) 4
(2,25) (1,25) 3
(2,25) (3,25) 3
(3,25) (2,25) 1
(3,25) (4,25) 1
(4,25) (3,25) 4
(4,25) (5,25) 4
(5,25) (4,25) 3
(1,26) (2,26) 2
(2,26) (1,26) 1
(2,26) (3,26) 1
(3,26) (2,26) 1
(3,26) (4,26) 1
(4,26) (3,26) 4
(4,26) (5,26) 5
(5,26) (4,26) 3
(1,27) (2,27) 2
(2,27) (1,27) 2
(2,27) (3,27) 4
(3,27) (2,27) 1
(3,27) (4,27) 1
(4,27) (3,27) 1
(4,27) (5,27) 2
(5,27) (4,27) 4
(1,28) (2,28) 2
(2,28) (1,28) 4
(2,28) (3,28) 2
(3,28) (2,28) 5
(3,28) (4,28) 2
(4,28) (3,28) 5
(4,28) (5,28) 2
(5,28) (4,28) 3
(1,29) (2,29) 1
(2,29) (1,29) 5
(2,29) (3,29) 2
(3,29) (2,29) 3
(3,29) (4,29) 5
(4,29) (3,29) 1
(4,29) (5,29) 1
(5,29) (4,29) 5
(1,30) (2,30) 4
(2,30) (1,30) 4
(2,30) (3,30) 1
(3,30) (2,30) 4
(3,30) (4,30) 2
(4,30) (3,30) 1
(4,30) (5,30) 4
(5,30) (4,30) 4
(1,31) (2,31) 2
(2,31) (1,31) 2
(2,31) (3,31) 3
(3,31) (2,31) 2
(3,31) (4,31) 1
(4,31) (3,31) 1
(4,31) (5,31) 3
(5,31) (4,31) 4
(1,32) (2,32) 5
(2,32) (1,32) 1
(2,32) (3,32) 3
(3,32) (2,32) 1
(3,32) (4,32) 2
(4,32) (3,32) 1
(4,32) (5,32) 4
(5,32) (4,32) 1
(1,33) (2,33) 4
(2,33) (1,33) 3
(2,33) (3,33) 2
(3,33) (2,33) 3
(3,33) (4,33) 2
(4,33) (3,33) 2
(4,33) (5,33) 3
(5,33) (4,33) 4
(1,34) (2,34) 5
(2,34) (1,34) 4
(2,34) (3,34) 4
(3,34) (2,34) 4
(3,34) (4,34) 4
(4,34) (3,34) 1
(4,34) (5,34) 3
(5,34) (4,34) 5
(1,35) (2,35) 1
(2,35) (1,35) 4
(2,35) (3,35) 5
(3,35) (2,35) 1
(3,35) (4,35) 3
(4,35) (3,35) 1
(4,35) (5,35) 5
(5,35) (4,35) 1
(1,35) t 2
(2,35) t 5
(3,35) t 5
(4,35) t 5
(5,35) t 1
